NAME,RADEG,DEDEG,CZ,LOGMSTAR,MODELU_RCORR,R90,MORPHEL,GRPCZ,FC,LOGMH,DEN1MPC
ECO01429,183.164,43.28,7126.5,8.57,1.05,12.1,L,7144.8,0,11.6,1.51
ECO01430,183.171,15.219,7131.1,8.63,1.73,9.0,L,7003.1,0,12.95,2.0
ECO01431,183.221,37.555,7235.5,8.93,1.25,7.3,E,7235.5,1,10.83,1.06
ECO01432,183.471,14.22,7331.3,8.93,1.9,6.9,E,7331.3,1,10.81,0.68
ECO01433,138.3,29.681,7175.1,8.71,1.83,11.5,L,7175.1,1,10.79,0.6
ECO01434,183.642,46.778,7373.7,8.47,1.18,8.5,L,7373.7,1,10.77,1.85
ECO01435,183.766,12.694,7059.7,8.53,1.03,9.5,L,7059.7,1,10.82,0.5
ECO01436,183.87,34.184,7128.3,8.51,1.0,12.0,L,7128.3,1,10.82,0.32
ECO01437,183.926,14.41,7280.8,8.69,1.07,13.7,L,7280.8,1,10.88,0.64
ECO01438,184.074,30.417,7158.0,8.59,0.65,12.0,L,7158.0,1,10.79,0.25
ECO01439,184.164,14.26,6933.4,7.85,0.6,6.5,L,6950.4,0,11.44,1.08
ECO01440,184.308,43.315,7055.4,8.53,0.98,7.4,L,7055.4,1,10.77,0.89
ECO01441,184.373,13.388,7385.4,8.99,1.79,8.1,E,7347.8,0,11.36,1.21
ECO01442,184.379,10.227,7362.2,8.55,0.81,11.9,L,7362.2,1,10.83,0.95
ECO01443,184.624,12.802,7206.5,8.75,1.25,7.6,E,7279.2,0,10.95,1.36
ECO01444,184.965,8.548,7197.9,8.79,1.41,6.5,E,7233.2,0,12.25,1.4
ECO01445,185.057,8.686,7206.2,8.45,0.99,21.2,L,7233.2,0,12.25,1.49
ECO01446,185.432,13.963,7159.3,8.49,1.06,9.2,L,7125.1,0,10.97,0.65
ECO01447,185.482,13.906,7090.9,8.67,0.89,3.8,E,7125.1,1,10.97,0.65
ECO01448,185.63,39.649,7024.3,8.57,1.33,9.9,L,7024.3,1,10.8,1.45
ECO01449,186.003,14.687,7344.7,8.15,0.88,7.9,L,7344.7,1,10.76,0.41
ECO01450,186.053,40.625,6955.7,8.53,0.94,11.3,L,6955.7,1,10.82,1.2
ECO01451,186.333,45.663,7337.3,8.67,1.83,13.3,L,7174.4,0,13.3,2.32
ECO01452,186.561,-0.989,7100.5,8.57,1.41,12.6,L,7100.5,1,10.77,0.22
ECO01453,132.455,42.214,7392.4,8.57,1.12,11.7,L,7406.9,0,11.64,0.76
ECO01454,138.593,30.433,6388.7,8.51,0.99,15.1,L,6388.7,1,10.84,2.29
ECO01455,186.602,8.25,7450.8,8.75,1.1,6.3,L,7359.5,0,11.02,1.79
ECO01456,186.784,14.239,7205.6,8.57,1.22,6.9,E,7205.6,1,10.75,0.72
ECO01457,187.169,14.788,7102.4,8.63,1.34,17.2,L,7102.4,1,10.81,0.6
ECO01458,187.232,39.914,7041.8,8.79,0.65,16.6,L,6993.7,0,11.29,0.81
ECO01459,187.458,9.602,7456.3,8.75,1.28,3.9,E,7366.2,0,11.45,1.36
ECO01460,187.577,6.974,6308.5,8.47,0.91,11.2,L,6308.5,1,10.83,0.29
